entity,n_with,mean_target_with,enc_with,global_mean_with,n_without,mean_target_without,enc_without,global_mean_without,obs_gained,enc_abs_diff,entity_col
A'ALI,2,11.173303327274752,9.687068620844839,9.389821679558855,1,11.26446410567173,9.54897645583825,9.377427690854901,1,0.13809216500658827,sire_target_enc
ACCLAMATION,301,9.307790182150908,9.310427850877852,9.389821679558855,283,9.316872990640432,9.318939703958332,9.377427690854901,18,0.008511853080479526,sire_target_enc
ACLAIM,33,9.457634402875414,9.441864002104122,9.389821679558855,31,9.428869683542464,9.416322856057693,9.377427690854901,2,0.025541146046428764,sire_target_enc
ACT ONE,5,9.437810795372991,9.405818051496901,9.389821679558855,5,9.437810795372991,9.397555392360932,9.377427690854901,0,0.00826265913596913,sire_target_enc
ACTION THIS DAY,3,8.786018480038555,9.250482479669556,9.389821679558855,2,8.05904782547916,9.157697713292277,9.377427690854901,1,0.09278476637727806,sire_target_enc
AD VALOREM,7,8.269778349131256,8.928627367029843,9.389821679558855,5,8.675958141078915,9.14360450759624,9.377427690854901,2,0.21497714056639694,sire_target_enc
ADAAY,33,9.413904082342004,9.408303523555226,9.389821679558855,27,9.416998499392875,9.406303686274503,9.377427690854901,6,0.001999837280722616,sire_target_enc
ADLERFLUG,2,11.176253188338345,9.687560264355437,9.389821679558855,1,11.127262984158243,9.53650362660975,9.377427690854901,1,0.15105663774568612,sire_target_enc
ADVERTISE,22,9.413470071342989,9.406079948910447,9.389821679558855,21,9.403835051879113,9.395316548322915,9.377427690854901,1,0.01076340058753189,sire_target_enc
AFLEET ALEX,1,8.160518247477505,9.278066822096916,9.389821679558855,1,8.160518247477505,9.266799559638775,9.377427690854901,0,0.011267262458140692,sire_target_enc
AIR CHIEF MARSHAL,3,9.066746066612032,9.315265768878819,9.389821679558855,2,9.799667870147005,9.447801054070252,9.377427690854901,1,0.13253528519143387,sire_target_enc
AIR FORCE BLUE,4,9.284252932501422,9.35965918039959,9.389821679558855,4,9.284252932501422,9.350806331325336,9.377427690854901,0,0.008852849074253655,sire_target_enc
AJAYA,3,8.503585859909485,9.185305721178231,9.389821679558855,3,8.503585859909485,9.17577188371365,9.377427690854901,0,0.009533837464580586,sire_target_enc
AL KAZEEM,14,9.472343805491903,9.437959586353132,9.389821679558855,13,9.466615436022249,9.427838155514706,9.377427690854901,1,0.010121430838426093,sire_target_enc
ALDEBARAN,3,9.316491615682361,9.372899357125819,9.389821679558855,3,9.316491615682361,9.363365519661238,9.377427690854901,0,0.009533837464580586,sire_target_enc
ALFRED NOBEL,15,8.936948233391096,9.1180976118582,9.389821679558855,12,8.897848275646831,9.115838918923227,9.377427690854901,3,0.002258692934972828,sire_target_enc
ALGORITHMS,1,10.668955394675699,9.506106562751295,9.389821679558855,1,10.668955394675699,9.494839300293155,9.377427690854901,0,0.011267262458140692,sire_target_enc
ALHAARTH,26,9.567132114059907,9.517879215587392,9.389821679558855,25,9.629562695916293,9.55752412304161,9.377427690854901,1,0.03964490745421756,sire_target_enc
ALHEBAYEB,14,9.103179534547381,9.222613761635495,9.389821679558855,13,9.063746769506075,9.200129778788174,9.377427690854901,1,0.022483982847321116,sire_target_enc
ALJABR,1,7.824046010856292,9.247478436949532,9.389821679558855,1,7.824046010856292,9.236211174491391,9.377427690854901,0,0.011267262458140692,sire_target_enc
ALKUMAIT,2,9.098768596319077,9.341312832352225,9.389821679558855,1,9.903487552536127,9.425251314644102,9.377427690854901,1,0.08393848229187739,sire_target_enc
